"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0500000US42009","Bedford County, Pennsylvania","48337","*****","47175","81","310","70","72","46","191","63","0","22","105","62","484","112","47","28","437","109"
"0500000US42011","Berks County, Pennsylvania","418025","*****","344474","2008","22697","1007","2474","738","5850","297","63","54","23405","1922","19062","1498","2844","619","16218","1431"
"0500000US42013","Blair County, Pennsylvania","123157","*****","117570","248","2053","201","158","131","756","134","60","76","426","214","2134","289","111","72","2023","278"
"0500000US42015","Bradford County, Pennsylvania","60963","*****","58934","205","337","95","30","14","437","63","100","111","317","182","808","115","68","58","740","97"
"0500000US42017","Bucks County, Pennsylvania","626806","*****","548891","1263","25325","731","1065","313","30282","653","107","88","8339","1255","12797","1102","1898","508","10899","901"
"0500000US42019","Butler County, Pennsylvania","186899","*****","179098","202","1821","209","83","39","2336","205","25","20","394","164","3142","317","120","61","3022","323"
"0500000US42021","Cambria County, Pennsylvania","133009","*****","124399","211","4618","363","66","36","579","109","38","26","488","131","2821","356","253","110","2568","328"
"0500000US42023","Cameron County, Pennsylvania","4611","*****","4449","39","4","11","2","4","39","33","0","10","9","13","108","41","14","18","94","43"
"0500000US42025","Carbon County, Pennsylvania","63887","*****","61135","260","1485","248","126","84","360","84","8","13","238","140","535","165","18","19","517","164"
"0500000US42027","Centre County, Pennsylvania","161960","*****","141849","329","6173","268","107","78","9923","370","52","48","922","309","2934","474","363","246","2571","382"
"0500000US42029","Chester County, Pennsylvania","519560","*****","440431","981","30438","809","594","176","28448","464","126","50","7577","960","11946","1087","1286","318","10660","1004"
"0500000US42031","Clarion County, Pennsylvania","38715","*****","37325","60","527","106","53","24","231","48","21","26","24","21","534","129","80","53","454","127"
"0500000US42033","Clearfield County, Pennsylvania","79908","*****","75643","190","2302","98","192","48","401","51","0","24","224","97","1146","230","370","137","776","250"
"0500000US42035","Clinton County, Pennsylvania","38915","*****","37447","80","696","92","102","61","323","18","11","11","83","57","253","91","0","22","253","91"
"0500000US42037","Columbia County, Pennsylvania","65715","*****","62515","205","1177","104","78","49","735","54","20","19","460","207","730","163","86","75","644","127"
"0500000US42039","Crawford County, Pennsylvania","85665","*****","81795","96","1384","187","33","18","485","85","23","27","248","76","1697","216","213","95","1484","207"
"0500000US42041","Cumberland County, Pennsylvania","249328","*****","218742","526","9884","621","347","135","10631","335","52","53","2962","503","6710","741","907","348","5803","628"
"0500000US42043","Dauphin County, Pennsylvania","275632","*****","193282","1615","53826","917","719","226","12073","569","78","84","7074","1941","8580","1199","1220","522","7360","1047"
"0500000US42045","Delaware County, Pennsylvania","564554","*****","388106","904","121802","1023","1167","353","32094","564","222","231","6515","974","14648","1236","1470","406","13178","1192"
"0500000US42047","Elk County, Pennsylvania","30340","*****","29663","66","268","72","42","46","153","22","28","45","21","21","165","84","4","6","161","83"
"0500000US42049","Erie County, Pennsylvania","273835","*****","236779","747","19663","708","721","176","4538","270","63","48","3350","694","8721","887","900","285","7821","869"
"0500000US42051","Fayette County, Pennsylvania","131302","*****","121435","161","5502","335","55","49","474","96","81","79","615","231","3140","345","104","63","3036","337"
"0500000US42053","Forest County, Pennsylvania","7313","*****","5095","203","1893","183","9","12","8","11","0","15","115","56","193","70","42","25","151","58"
"0500000US42055","Franklin County, Pennsylvania","154147","*****","142470","707","5774","424","388","340","1296","230","22","26","977","367","3220","509","475","277","2745","399"
"0500000US42057","Fulton County, Pennsylvania","14506","*****","14009","32","221","63","42","17","38","32","0","16","35","22","161","56","26","26","135","47"
"0500000US42059","Greene County, Pennsylvania","36870","*****","34669","60","1152","122","11","15","132","33","7","7","104","61","795","138","129","60","666","120"
"0500000US42061","Huntingdon County, Pennsylvania","45369","*****","41519","106","2548","135","75","42","269","69","7","7","200","63","751","141","113","41","638","133"
"0500000US42063","Indiana County, Pennsylvania","85032","*****","80516","131","1955","178","56","60","840","164","16","18","259","129","1390","268","58","31","1332","261"
"0500000US42065","Jefferson County, Pennsylvania","43846","*****","42903","50","231","65","44","34","121","29","19","30","67","52","461","78","9","12","452","77"
"0500000US42067","Juniata County, Pennsylvania","24624","*****","23882","91","270","103","0","19","97","91","0","19","210","95","165","80","24","24","141","78"
"0500000US42069","Lackawanna County, Pennsylvania","210652","*****","191885","649","5898","504","108","60","5921","217","87","53","1978","480","4775","710","494","202","4281","688"
"0500000US42071","Lancaster County, Pennsylvania","540999","*****","478516","1805","22580","1211","823","319","11863","478","132","95","13655","1700","13430","1340","2207","558","11223","1261"
